번호,국가,지역,랜드마크 이름,설명,경도 (Lng),위도 (Lat)
1,태국,방콕,왕궁(Grand Palace),태국 왕실의 중심지로 화려한 장식과 역사적 가치가 있는 방콕 필수 관광지.,100.4915765,13.7498558
2,태국,방콕,왓 포(Wat Pho),세계적으로 유명한 거대 와불상이 있는 사원.,100.4927733,13.7464237
3,태국,방콕,왓 아룬(Wat Arun),새벽 사원으로 불리며 차오프라야 강변에 위치해 있다.,100.488444,13.7438652
4,태국,방콕,에메랄드 사원(왓 프라깨우),왕궁 내 위치하며 에메랄드 불상이 있는 태국 최고의 사원.,100.4927041,13.7516435
5,태국,방콕,왓 사켓(황금산),방콕 시내가 보이는 황금 불탑이 인상적인 사원.,100.5065459,13.7538637
6,태국,방콕,카오산 로드(Khao San Road),전 세계 배낭여행자들의 집합지.,100.4972578,13.7589206
7,태국,방콕,시암 파라곤(Siam Paragon),고급 브랜드와 다양한 쇼핑 및 식사를 할 수 있는 대형 쇼핑몰.,100.5347792,13.7461302
8,태국,방콕,터미널21(Terminal 21),공항 테마의 독특한 쇼핑몰.,100.5604058,13.7379635
9,태국,방콕,짜뚜짝 주말 시장(Chatuchak Weekend Market),엄청난 규모의 다양한 상품을 판매하는 시장.,100.5504245,13.799781
10,태국,방콕,마하나콘 타워(King Power Mahanakhon),독특한 유리 바닥 전망대를 가진 방콕의 랜드마크 빌딩.,100.5282467,13.7235375
11,태국,푸켓,푸켓 빅 부다(Big Buddha),푸켓 남동부 언덕에 위치한 거대한 흰색 대불상.,98.3128423,7.8275763
12,태국,푸켓,왓찰롱 사원(Wat Chalong),푸켓에서 가장 크고 중요한 불교 사원.,98.3369048,7.8468384
13,태국,푸켓,파통 비치(Patong Beach),다양한 액티비티와 나이트라이프가 펼쳐지는 주요 해변.,98.2954147,7.8961957
14,태국,푸켓,방라 로드(Bangla Road),파통 비치 근처의 유명한 유흥거리.,98.2952571,7.8940782
15,태국,푸켓,카론 비치(Karon Beach),길게 펼쳐진 모래사장과 깨끗한 바다가 인상적인 해변.,98.2936186,7.8438991
16,태국,푸켓,카타 비치(Kata Beach),가족과 함께 휴식과 액티비티 모두 즐길 수 있는 비치.,98.2976473,7.8206945
17,태국,푸켓,카말라 비치(Kamala Beach),조용한 분위기의 적합한 해변.,98.2830983,7.9569221
18,태국,푸켓,자유 해변(Freedom Beach),자연 그대로의 환경에서 휴식을 즐길 수 있는 해변.,98.2758228,7.8752559
19,태국,푸켓,피피섬(Phi Phi Islands),투명한 바다와 절경으로 유명한 섬.,98.77841,7.740738
20,태국,푸켓,구(舊) 푸켓타운(Old Phuket Town),중국-포르투갈 양식의 건축물과 다양한 맛집 및 골목길을 볼 수 있는 여행지.,98.3891995,7.885432
21,태국,치앙마이,도이수텝 사원(Wat Phra That Doi Suthep),치앙마이 시내를 한눈에 볼 수 있는 신성한 사원.,98.9160906,18.8070052
22,태국,치앙마이,체디 루앙(Wat Chedi Luang),도심 한복판에 위치한 고대 사원 유적.,98.9865804,18.7869693
23,태국,치앙마이,프라 싱 사원(Wat Phra Singh),옛 도심 내 가장 아름다운 불상과 벽화 보유.,98.9819946,18.7885265
24,태국,치앙마이,타패 게이트(Tha Phae Gate),치앙마이의 올드타운 입구이자 역사적 랜드마크.,98.993369,18.7877413
25,태국,치앙마이,세 왕 동상(Three Kings Monument),치앙마이 설립을 기념하는 동상 광장.,98.9873528,18.7902317
26,태국,치앙마이,우몽 사원(Wat Umong),터널 속 불상이 유명한 숲속 사원.,98.9521099,18.7827263
27,태국,치앙마이,반덴 사원(Wat Ban Den),다양한 건축양식을 한눈에 볼 수 있는 대규모 사원.,98.9784843,19.1577357
28,태국,치앙마이,수언 독 사원(Wat Suan Dok),왕족이 잠들어 있는 사원이며 하얀 탑이 특징.,98.9677619,18.7882387
29,태국,치앙마이,와로로스 시장(Warorot Market),치앙마이 전통시장으로 현지 문화 체험 가능.,99.0009964,18.7898494
30,태국,치앙마이,님만해민 로드(Nimmanhemin Road),현대적 감성과 카페 및 상점이 집결한 트렌디한 거리.,98.9668745,18.798569
31,일본,도쿄,도쿄 타워,"도쿄의 상징인 붉은색 전파탑, 야경 명소",139.7454,35.6586
32,일본,도쿄,시부야 스크럼블 교차로,세계적으로 유명한 도쿄의 거대한 횡단보도,139.7,35.6595
33,일본,도쿄,도쿄 스카이트리,"세계에서 가장 높은 전파탑, 파노라마 전망",139.8107,35.71
34,일본,도쿄,우에노 공원,"벚꽃과 미술관, 동물원이 있는 문화 공원",139.7741,35.714
35,일본,도쿄,센소지,아사쿠사에 있는 도쿄에서 가장 오래된 사찰,139.7967,35.7147
36,일본,도쿄,메이지 신궁,울창한 숲 속에 위치한 평온한 신사,139.6993,35.6764
37,일본,도쿄,도쿄 황궁,일본 천황이 거주하는 고즈넉한 성터,139.7528,35.6852
38,일본,도쿄,오다이바,인공섬에 조성된 쇼핑몰과 해변 공원,139.7764,35.6248
39,일본,도쿄,롯폰기 힐즈 (모리 타워),미술관과 전망대가 있는 복합 문화 공간,139.7292,35.6604
40,일본,도쿄,긴자 (Ginza),명품 매장과 백화점이 즐비한 고급 쇼핑가,139.7667,35.6713
41,일본,오사카,오사카성 (천수각),"오사카의 상징, 웅장한 성곽과 역사 공원",135.5259,34.6873
42,일본,오사카,츠텐카쿠,신세카이의 레트로 감성을 느낄 수 있는 전망대,135.5063,34.6525
43,일본,오사카,우메다 스카이 빌딩,공중 정원 전망대에서 즐기는 오사카 전경,135.4897,34.7053
44,일본,오사카,글리코상 간판 (도톤보리),"오사카 여행 인증샷 필수 코스, 화려한 네온",135.5008,34.6691
45,일본,오사카,유니버설 스튜디오 재팬 (USJ),영화 속 세상을 체험하는 세계적인 테마파크,135.4323,34.6654
46,일본,오사카,아베노 하루카스 (하루카스 300),일본 최고 높이 빌딩에서 보는 압도적 전망,135.5134,34.646
47,일본,오사카,가이유칸 (해유관 수족관),거대한 고래상어가 있는 세계 최대급 수족관,135.4285,34.6553
48,일본,오사카,시텐노지,일본 불교의 역사가 살아 숨 쉬는 사찰,135.5165,34.6539
49,일본,오사카,스미요시 대사,붉은 아치형 다리가 아름다운 유서 깊은 신사,135.4938,34.6124
50,일본,오사카,난바 야사카 신사,거대한 사자 머리 모양의 무대가 인상적인 곳,135.4967,34.6616
51,일본,후쿠오카,후쿠오카 타워,해변에 위치한 일본 제일의 해변 타워,130.3515,33.5932
52,일본,후쿠오카,구시다 신사,하카타 기온 야마카사 축제의 중심지,130.4106,33.593
53,일본,후쿠오카,캐널시티 하카타,운하가 흐르는 대형 복합 쇼핑몰,130.4109,33.5898
54,일본,후쿠오카,우미노나카미치 해변공원,"꽃과 바다, 동물을 즐길 수 있는 국영 공원",130.3673,33.6664
55,일본,후쿠오카,오호리 공원,커다란 호수를 끼고 산책하기 좋은 도심 공원,130.3764,33.5861
56,일본,후쿠오카,다자이후 텐만구,"학문의 신을 모시는 신사, 매화 명소",130.5349,33.5215
57,일본,후쿠오카,나카스 야타이 거리,강변을 따라 늘어선 낭만적인 포장마차 거리,130.4082,33.5916
58,일본,후쿠오카,모모치 해변공원,"후쿠오카 타워 앞 인공 해변, 석양 명소",130.3516,33.5937
59,일본,후쿠오카,라라포트 후쿠오카 (건담),실물 크기 건담이 서 있는 쇼핑 테마파크,130.443,33.5654
60,일본,후쿠오카,도초지,거대한 목조 대불이 있는 유서 깊은 사찰,130.4137,33.5951
61,영국,런던,빅밴,웨스트민스터 궁전에 있는 시계탑으로 런던을 대표하는 상징적인 랜드마크.,-0.1214,51.5004
62,영국,런던,영국 박물관,전 세계 유물과 예술품을 소장한 세계 최대급 박물관.,-0.126253,51.518861
63,영국,런던,런던 타워,템즈강 옆 중세 요새로 왕궁·감옥 등 다양한 역사적 역할을 했던 유네스코 세계문화유산.,-0.075949,51.508112
64,영국,런던,버킹엄 궁전,영국 국왕의 공식 거처로 근위병 교대식으로 유명한 궁전.,-0.14061,51.501724
65,영국,런던,런던 아이,템즈강변에 위치한 대형 대관람차로 런던 전경을 한눈에 볼 수 있는 인기 관광지.,-0.1197,51.5033
66,영국,런던,세인트 폴 대성당,거대한 돔과 바로크 양식이 특징인 런던의 대표적인 성공회 대성당.,-0.098451,51.513787
67,영국,런던,타워 브리지,"템즈강을 가로지르는 가동식 다리로, 런던 스카이라인의 상징적인 구조물.",-0.07528,51.50556
68,영국,런던,웨스트민스터 사원,영국 왕의 대관식과 국장 등이 열리는 고딕 양식 사원.,-0.12837,51.49959
69,영국,런던,트라팔가 광장,넬슨 제독 기념탑과 분수가 있는 광장으로 각종 집회와 이벤트가 열리는 중심지.,-0.128217,51.508045
70,영국,런던,토트넘 홋스퍼 스타디움,"세계 최첨단 시설의 프리미어리그 구장, NFL 경기까지 열리는 다목적 스타디움",-0.066305,51.604268
71,영국,맨체스터,올드 트래포드 경기장,맨체스터 유나이티드의 홈구장,-2.292279,53.463493
72,영국,맨체스터,에티하드 스타디움,맨체스터 시티의 홈구장,-2.200941,53.483135
73,영국,맨체스터,맨체스터 대성당,맨체스터 중심부의 고딕 양식 대성당,-2.2443156,53.4851459
74,영국,맨체스터,맨체스터 박물관,"자연사·고고학 박물관, 옥스포드 로드",-2.23424,53.46641
75,영국,맨체스터,맨체스터 시청,빅토리안 고딕 스타일 시청 건물,-2.244007,53.478976
76,영국,맨체스터,비텀 타워,맨체스터의 스카이라인을 대표하는 고층 빌딩,-2.2502,53.4718
77,영국,맨체스터,히튼 파크,"광대한 도시공원, 맨체스터 북부",-2.24276,53.48447
78,영국,맨체스터,익스체인지 스퀘어,"쇼핑/광장 지역, 도심 중심",-2.24276,53.48447
79,영국,맨체스터,어비스 / 국립축구박물관,전시 공간 → 현재는 축구 박물관 위치,-2.24352,53.48407
80,영국,맨체스터,휘트워스 빌,맨체스터 대학교의 역사적 건물,-2.2335,53.4655
81,영국,리버풀,로열 앨버트 독,"역사적 항만 구역, 박물관·카페·쇼핑모두 있음",-2.992117,53.399433
82,영국,리버풀,안필드 경기장,"리버풀 FC의 홈구장, 축구 팬 필수 방문지",-2.961425,53.430759
83,영국,리버풀,리버풀 대성당,영국에서 가장 큰 대성당 중 하나,-2.973387,53.397469
84,영국,리버풀,세인트 조지 홀,"네오클래식 양식의 역사적 건물, 공연장 및 법정 기능도 함",-2.97936,53.40837
85,영국,리버풀,로열 리버 빌딩,리버풀 워터프런트의 대표 랜드마크 건물,-2.995941,53.405816
86,영국,리버풀,슈퍼램바나나,"독특한 조형물 아트워크, 관광객 인기 포토스팟",-2.98877,53.41092
87,영국,리버풀,세인트존스 비컨,"전망타워, 리버풀 시내 한눈에 보기 좋은 곳",-2.981979,53.406315
88,영국,리버풀,메트로폴리탄 대성당,"카톨릭 대성당, 독특한 건축 양식",-2.9688,53.4047
89,영국,리버풀,빅토리아 타워,고딕 리바이벌 양식의 시계탑 겸 랜드마크,-3.00495,53.42153
90,영국,리버풀,호프 스트리트,"리버풀 중심 역사 거리, 식당·문화 공간 밀집",-2.9699,53.4026
